"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"83","Gentoo","Biscoe",50.7,15,223,5550,"male",2008
"84","Gentoo","Biscoe",51.5,16.3,230,5500,"male",2009
"85","Gentoo","Biscoe",49.3,15.7,217,5850,"male",2007
"86","Gentoo","Biscoe",47.6,14.5,215,5400,"male",2007
"87","Gentoo","Biscoe",41.7,14.7,210,4700,"female",2009
"88","Gentoo","Biscoe",50.5,15.9,225,5400,"male",2008
"89","Gentoo","Biscoe",46.4,15,216,4700,"female",2008
"90","Gentoo","Biscoe",52.1,17,230,5550,"male",2009
"91","Gentoo","Biscoe",49.4,15.8,216,4925,"male",2009
"92","Gentoo","Biscoe",45.8,14.6,210,4200,"female",2007
"93","Gentoo","Biscoe",46.2,14.9,221,5300,"male",2008
"94","Gentoo","Biscoe",50,16.3,230,5700,"male",2007
"95","Gentoo","Biscoe",46.3,15.8,215,5050,"male",2007
"96","Gentoo","Biscoe",50.4,15.7,222,5750,"male",2009
"97","Gentoo","Biscoe",48.4,14.4,203,4625,"female",2009
"98","Gentoo","Biscoe",45.4,14.6,211,4800,"female",2007
"99","Gentoo","Biscoe",49.8,16.8,230,5700,"male",2008
